Gene	Slope	P-value
PINK1	PINK1	PINK1
PINK1-AS	PINK1-AS	PINK1-AS
DDOST	DDOST	DDOST
KIF17	KIF17	KIF17
RP5-930J4.5	RP5-930J4.5	RP5-930J4.5
SH2D5	SH2D5	SH2D5
RP5-930J4.2	RP5-930J4.2	RP5-930J4.2
HP1BP3	HP1BP3	HP1BP3
EIF4G3	EIF4G3	EIF4G3
RNU7-200P	RNU7-200P	RNU7-200P
MIR1256	MIR1256	MIR1256
RPS15AP6	RPS15AP6	RPS15AP6
RP11-487E1.2	RP11-487E1.2	RP11-487E1.2
HSPE1P27	HSPE1P27	HSPE1P27
ECE1	ECE1	ECE1
RP3-329E20.2	RP3-329E20.2	RP3-329E20.2
RP5-1071N3.1	RP5-1071N3.1	RP5-1071N3.1
PPP1R11P1	PPP1R11P1	PPP1R11P1
RP11-293F5.8	RP11-293F5.8	RP11-293F5.8
RP11-293F5.1	RP11-293F5.1	RP11-293F5.1
NBPF2P	NBPF2P	NBPF2P
HS6ST1P1	HS6ST1P1	HS6ST1P1
CROCCP5	CROCCP5	CROCCP5
NBPF3	NBPF3	NBPF3
PFN1P10	PFN1P10	PFN1P10
ALPL	ALPL	ALPL
RP11-63N8.3	RP11-63N8.3	RP11-63N8.3
RAP1GAP	RAP1GAP	RAP1GAP
USP48	USP48	USP48
RP11-132G19.3	RP11-132G19.3	RP11-132G19.3
LDLRAD2	LDLRAD2	LDLRAD2
HSPG2	HSPG2	HSPG2
RP11-26H16.1	RP11-26H16.1	RP11-26H16.1
RP11-26H16.4	RP11-26H16.4	RP11-26H16.4
CELA3B	CELA3B	CELA3B
RN7SL386P	RN7SL386P	RN7SL386P
RNU6-1022P	RNU6-1022P	RNU6-1022P
CELA3A	CELA3A	CELA3A
RN7SL186P	RN7SL186P	RN7SL186P
RNU6-776P	RNU6-776P	RNU6-776P
LINC01635	LINC01635	LINC01635
LINC00339	LINC00339	LINC00339
CDC42	CDC42	CDC42
CDC42-IT1	CDC42-IT1	CDC42-IT1
RP1-224A6.8	RP1-224A6.8	RP1-224A6.8
RP1-224A6.9	RP1-224A6.9	RP1-224A6.9
WNT4	WNT4	WNT4
MIR4418	MIR4418	MIR4418
RP11-415K20.1	RP11-415K20.1	RP11-415K20.1
RP11-415K20.2	RP11-415K20.2	RP11-415K20.2
ZBTB40	ZBTB40	ZBTB40
ZBTB40-IT1	ZBTB40-IT1	ZBTB40-IT1
EPHA8	EPHA8	EPHA8
MIR6127	MIR6127	MIR6127
C1QA	C1QA	C1QA
C1QC	C1QC	C1QC
C1QB	C1QB	C1QB
EPHB2	EPHB2	EPHB2
MIR4684	MIR4684	MIR4684
RP11-69E9.1	RP11-69E9.1	RP11-69E9.1
MIR4253	MIR4253	MIR4253
LACTBL1	LACTBL1	LACTBL1
C1orf234	C1orf234	C1orf234
KDM1A	KDM1A	KDM1A
RP1-184J9.2	RP1-184J9.2	RP1-184J9.2
MIR3115	MIR3115	MIR3115
MIR4419A	MIR4419A	MIR4419A
LUZP1	LUZP1	LUZP1
RP5-979D14.1	RP5-979D14.1	RP5-979D14.1
RNU6-514P	RNU6-514P	RNU6-514P
RNU6-135P	RNU6-135P	RNU6-135P
HTR1D	HTR1D	HTR1D
RP5-1057J7.1	RP5-1057J7.1	RP5-1057J7.1
LINC01355	LINC01355	LINC01355
HNRNPR	HNRNPR	HNRNPR
ZNF436	ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1	ZNF436-AS1
RP5-1057J7.7	RP5-1057J7.7	RP5-1057J7.7
TCEA3	TCEA3	TCEA3
RP4-654C18.1	RP4-654C18.1	RP4-654C18.1
ASAP3	ASAP3	ASAP3
E2F2	E2F2	E2F2
RP1-150O5.3	RP1-150O5.3	RP1-150O5.3
ID3	ID3	ID3
MDS2	MDS2	MDS2
RP11-223J15.2	RP11-223J15.2	RP11-223J15.2
RPL11	RPL11	RPL11
ELOA	ELOA	ELOA
ELOA-AS1	ELOA-AS1	ELOA-AS1
PITHD1	PITHD1	PITHD1
LYPLA2	LYPLA2	LYPLA2
GALE	GALE	GALE
HMGCL	HMGCL	HMGCL
FUCA1	FUCA1	FUCA1
CNR2	CNR2	CNR2
BTBD6P1	BTBD6P1	BTBD6P1
RP11-4M23.3	RP11-4M23.3	RP11-4M23.3
MIR378F	MIR378F	MIR378F
RP11-4M23.4	RP11-4M23.4	RP11-4M23.4
PNRC2	PNRC2	PNRC2
SRSF10	SRSF10	SRSF10
RP11-4M23.7	RP11-4M23.7	RP11-4M23.7
RP11-293P20.2	RP11-293P20.2	RP11-293P20.2
MYOM3	MYOM3	MYOM3
RP11-293P20.4	RP11-293P20.4	RP11-293P20.4
IL22RA1	IL22RA1	IL22RA1
IFNLR1	IFNLR1	IFNLR1
RP11-10N16.2	RP11-10N16.2	RP11-10N16.2
RP11-10N16.3	RP11-10N16.3	RP11-10N16.3
GRHL3	GRHL3	GRHL3
STPG1	STPG1	STPG1
NIPAL3	NIPAL3	NIPAL3
RCAN3	RCAN3	RCAN3
RP4-594I10.3	RP4-594I10.3	RP4-594I10.3
NCMAP	NCMAP	NCMAP
RP11-496D1.2	RP11-496D1.2	RP11-496D1.2
SRRM1	SRRM1	SRRM1
CLIC4	CLIC4	CLIC4
RNU6-1208P	RNU6-1208P	RNU6-1208P
RUNX3	RUNX3	RUNX3
MIR6731	MIR6731	MIR6731
RP11-84D1.1	RP11-84D1.1	RP11-84D1.1
RP11-84D1.2	RP11-84D1.2	RP11-84D1.2
MIR4425	MIR4425	MIR4425
RP4-799D16.1	RP4-799D16.1	RP4-799D16.1
RP4-781L3.1	RP4-781L3.1	RP4-781L3.1
RP4-706G24.1	RP4-706G24.1	RP4-706G24.1
SYF2	SYF2	SYF2
RSRP1	RSRP1	RSRP1
RP3-465N24.6	RP3-465N24.6	RP3-465N24.6
RP3-465N24.5	RP3-465N24.5	RP3-465N24.5
RHD	RHD	RHD
SDHDP6	SDHDP6	SDHDP6
RP11-335G20.7	RP11-335G20.7	RP11-335G20.7
TMEM50A	TMEM50A	TMEM50A
RHCE	RHCE	RHCE
RP3-469D22.1	RP3-469D22.1	RP3-469D22.1
TMEM57	TMEM57	TMEM57
LDLRAP1	LDLRAP1	LDLRAP1
RP11-70P17.1	RP11-70P17.1	RP11-70P17.1
MAN1C1	MAN1C1	MAN1C1
RP1-187B23.1	RP1-187B23.1	RP1-187B23.1
SELENON	SELENON	SELENON
RP1-317E23.3	RP1-317E23.3	RP1-317E23.3
MTFR1L	MTFR1L	MTFR1L
AUNIP	AUNIP	AUNIP
RP1-125I3.2	RP1-125I3.2	RP1-125I3.2
PAQR7	PAQR7	PAQR7
STMN1	STMN1	STMN1
SNRPFP2	SNRPFP2	SNRPFP2
RP1-125I3.4	RP1-125I3.4	RP1-125I3.4
MIR3917	MIR3917	MIR3917
PAFAH2	PAFAH2	PAFAH2
RNU6-110P	RNU6-110P	RNU6-110P
SCARNA17	SCARNA17	SCARNA17
SCARNA18	SCARNA18	SCARNA18
EXTL1	EXTL1	EXTL1
SLC30A2	SLC30A2	SLC30A2
RP11-96L14.9	RP11-96L14.9	RP11-96L14.9
TRIM63	TRIM63	TRIM63
PDIK1L	PDIK1L	PDIK1L
FAM110D	FAM110D	FAM110D
RP11-96L14.8	RP11-96L14.8	RP11-96L14.8
RP11-96L14.7	RP11-96L14.7	RP11-96L14.7
ZNF593	ZNF593	ZNF593
CNKSR1	CNKSR1	CNKSR1
CATSPER4	CATSPER4	CATSPER4
RP11-231P20.2	RP11-231P20.2	RP11-231P20.2
RP11-231P20.6	RP11-231P20.6	RP11-231P20.6
CEP85	CEP85	CEP85
RP11-231P20.5	RP11-231P20.5	RP11-231P20.5
SH3BGRL3	SH3BGRL3	SH3BGRL3
UBXN11	UBXN11	UBXN11
CD52	CD52	CD52
AIM1L	AIM1L	AIM1L
RP11-569G9.7	RP11-569G9.7	RP11-569G9.7
ZNF683	ZNF683	ZNF683
LIN28A	LIN28A	LIN28A
DHDDS	DHDDS	DHDDS
RP3-476K8.4	RP3-476K8.4	RP3-476K8.4
RP3-476K8.3	RP3-476K8.3	RP3-476K8.3
HMGN2	HMGN2	HMGN2
DPPA2P2	DPPA2P2	DPPA2P2
RPS6KA1	RPS6KA1	RPS6KA1
MIR1976	MIR1976	MIR1976
RN7SL679P	RN7SL679P	RN7SL679P
RNU7-29P	RNU7-29P	RNU7-29P
RP11-492M19.3	RP11-492M19.3	RP11-492M19.3
snoU13	snoU13	snoU13
RP4-785J1.1	RP4-785J1.1	RP4-785J1.1
RP5-968P14.2	RP5-968P14.2	RP5-968P14.2
ARID1A	ARID1A	ARID1A
PIGV	PIGV	PIGV
RN7SL165P	RN7SL165P	RN7SL165P
ZDHHC18	ZDHHC18	ZDHHC18
SFN	SFN	SFN
GPN2	GPN2	GPN2
GPATCH3	GPATCH3	GPATCH3
NUDC	NUDC	NUDC
NR0B2	NR0B2	NR0B2
KDF1	KDF1	KDF1
RPL12P13	RPL12P13	RPL12P13
RP11-344H11.5	RP11-344H11.5	RP11-344H11.5
OSTCP2	OSTCP2	OSTCP2
TRNP1	TRNP1	TRNP1
FAM46B	FAM46B	FAM46B
SLC9A1	SLC9A1	SLC9A1
RP11-40H20.5	RP11-40H20.5	RP11-40H20.5
CHCHD3P3	CHCHD3P3	CHCHD3P3
NPM1P39	NPM1P39	NPM1P39
SNRPEP7	SNRPEP7	SNRPEP7
RP11-40H20.4	RP11-40H20.4	RP11-40H20.4
WDTC1	WDTC1	WDTC1
RP11-4K3__A.3	RP11-4K3__A.3	RP11-4K3__A.3
TMEM222	TMEM222	TMEM222
RNU6-48P	RNU6-48P	RNU6-48P
ACTG1P20	ACTG1P20	ACTG1P20
SYTL1	SYTL1	SYTL1
MAP3K6	MAP3K6	MAP3K6
FCN3	FCN3	FCN3
CD164L2	CD164L2	CD164L2
RP1-144C9.2	RP1-144C9.2	RP1-144C9.2
GPR3	GPR3	GPR3
WASF2	WASF2	WASF2
RP4-752I6.1	RP4-752I6.1	RP4-752I6.1
RP1-159A19.4	RP1-159A19.4	RP1-159A19.4
AHDC1	AHDC1	AHDC1
FGR	FGR	FGR
RP1-159A19.3	RP1-159A19.3	RP1-159A19.3
RP11-288L9.1	RP11-288L9.1	RP11-288L9.1
IFI6	IFI6	IFI6
RP11-288L9.4	RP11-288L9.4	RP11-288L9.4
RNU6-949P	RNU6-949P	RNU6-949P
CHMP1AP1	CHMP1AP1	CHMP1AP1
RNU6-424P	RNU6-424P	RNU6-424P
FAM76A	FAM76A	FAM76A
RP3-426I6.2	RP3-426I6.2	RP3-426I6.2
RPEP3	RPEP3	RPEP3
STX12	STX12	STX12
RP3-426I6.5	RP3-426I6.5	RP3-426I6.5
RP3-426I6.6	RP3-426I6.6	RP3-426I6.6
RNU6-1245P	RNU6-1245P	RNU6-1245P
PPP1R8	PPP1R8	PPP1R8
SCARNA1	SCARNA1	SCARNA1
THEMIS2	THEMIS2	THEMIS2
RPA2	RPA2	RPA2
SMPDL3B	SMPDL3B	SMPDL3B
RP11-460I13.2	RP11-460I13.2	RP11-460I13.2
XKR8	XKR8	XKR8
EYA3	EYA3	EYA3
RP11-460I13.6	RP11-460I13.6	RP11-460I13.6
RN7SL559P	RN7SL559P	RN7SL559P
SPCS2P4	SPCS2P4	SPCS2P4
RP5-1053E7.2	RP5-1053E7.2	RP5-1053E7.2
RP5-1053E7.3	RP5-1053E7.3	RP5-1053E7.3
RNU6-176P	RNU6-176P	RNU6-176P
PTAFR	PTAFR	PTAFR
DNAJC8	DNAJC8	DNAJC8
ATPIF1	ATPIF1	ATPIF1
RP5-1092A3.4	RP5-1092A3.4	RP5-1092A3.4
RP5-1092A3.5	RP5-1092A3.5	RP5-1092A3.5
SESN2	SESN2	SESN2
MED18	MED18	MED18
PHACTR4	PHACTR4	PHACTR4
RP1-308E4.1	RP1-308E4.1	RP1-308E4.1
RNU6ATAC27P	RNU6ATAC27P	RNU6ATAC27P
RCC1	RCC1	RCC1
SNORA73A	SNORA73A	SNORA73A
SNORA73B	SNORA73B	SNORA73B
PRDX3P2	PRDX3P2	PRDX3P2
RP4-669K10.8	RP4-669K10.8	RP4-669K10.8
TRNAU1AP	TRNAU1AP	TRNAU1AP
SNHG12	SNHG12	SNHG12
SNORD99	SNORD99	SNORD99
SNORA61	SNORA61	SNORA61
SNORA44	SNORA44	SNORA44
SNORA16A	SNORA16A	SNORA16A
TAF12	TAF12	TAF12
RAB42	RAB42	RAB42
LINC01715	LINC01715	LINC01715
RNU11	RNU11	RNU11
GMEB1	GMEB1	GMEB1
SCARNA24	SCARNA24	SCARNA24
YTHDF2	YTHDF2	YTHDF2
OPRD1	OPRD1	OPRD1
RP1-212P9.3	RP1-212P9.3	RP1-212P9.3
EPB41	EPB41	EPB41
RP4-604A21.1	RP4-604A21.1	RP4-604A21.1
Metazoa_SRP	Metazoa_SRP	Metazoa_SRP
TMEM200B	TMEM200B	TMEM200B
RP11-242O24.3	RP11-242O24.3	RP11-242O24.3
SRSF4	SRSF4	SRSF4
uc_338	uc_338	uc_338
MECR	MECR	MECR
RP11-467D18.2	RP11-467D18.2	RP11-467D18.2
PTPRU	PTPRU	PTPRU
LINC01756	LINC01756	LINC01756
RP11-810H18.1	RP11-810H18.1	RP11-810H18.1
RP4-656G21.1	RP4-656G21.1	RP4-656G21.1
RP11-179G8.1	RP11-179G8.1	RP11-179G8.1
LINC01648	LINC01648	LINC01648
RP5-893G23.1	RP5-893G23.1	RP5-893G23.1
RP3-357I16.1	RP3-357I16.1	RP3-357I16.1
RP4-591L5.1	RP4-591L5.1	RP4-591L5.1
RP4-591L5.2	RP4-591L5.2	RP4-591L5.2
MATN1	MATN1	MATN1
MATN1-AS1	MATN1-AS1	MATN1-AS1
LAPTM5	LAPTM5	LAPTM5
MIR4420	MIR4420	MIR4420
RP5-1125N11.1	RP5-1125N11.1	RP5-1125N11.1
LINC01778	LINC01778	LINC01778
RN7SKP91	RN7SKP91	RN7SKP91
RP1-65J11.5	RP1-65J11.5	RP1-65J11.5
SDC3	SDC3	SDC3
RN7SL371P	RN7SL371P	RN7SL371P
PUM1	PUM1	PUM1
RP11-201O14.1	RP11-201O14.1	RP11-201O14.1
RP11-201O14.2	RP11-201O14.2	RP11-201O14.2
SELENOWP1	SELENOWP1	SELENOWP1
RP11-490K7.1	RP11-490K7.1	RP11-490K7.1
NKAIN1	NKAIN1	NKAIN1
SNRNP40	SNRNP40	SNRNP40
RP11-490K7.4	RP11-490K7.4	RP11-490K7.4
ZCCHC17	ZCCHC17	ZCCHC17
RP11-266K22.2	RP11-266K22.2	RP11-266K22.2
FABP3	FABP3	FABP3
SERINC2	SERINC2	SERINC2
RP11-439L8.2	RP11-439L8.2	RP11-439L8.2
RNU6-40P	RNU6-40P	RNU6-40P
LINC01225	LINC01225	LINC01225
LINC01226	LINC01226	LINC01226
RP11-73M7.1	RP11-73M7.1	RP11-73M7.1
TINAGL1	TINAGL1	TINAGL1
HCRTR1	HCRTR1	HCRTR1
PEF1	PEF1	PEF1
RP11-73M7.6	RP11-73M7.6	RP11-73M7.6
RP11-73M7.9	RP11-73M7.9	RP11-73M7.9
COL16A1	COL16A1	COL16A1
ADGRB2	ADGRB2	ADGRB2
MIR4254	MIR4254	MIR4254
RP11-84A19.3	RP11-84A19.3	RP11-84A19.3
SPOCD1	SPOCD1	SPOCD1
RP11-84A19.2	RP11-84A19.2	RP11-84A19.2
RP11-84A19.4	RP11-84A19.4	RP11-84A19.4
PTP4A2	PTP4A2	PTP4A2
RP4-534N18.2	RP4-534N18.2	RP4-534N18.2
KHDRBS1	KHDRBS1	KHDRBS1
RP11-277A4.4	RP11-277A4.4	RP11-277A4.4
TMEM39B	TMEM39B	TMEM39B
MIR5585	MIR5585	MIR5585
KPNA6	KPNA6	KPNA6
TXLNA	TXLNA	TXLNA
CCDC28B	CCDC28B	CCDC28B
RP4-622L5.7	RP4-622L5.7	RP4-622L5.7
IQCC	IQCC	IQCC
DCDC2B	DCDC2B	DCDC2B
TMEM234	TMEM234	TMEM234
EIF3I	EIF3I	EIF3I
MTMR9LP	MTMR9LP	MTMR9LP
FAM167B	FAM167B	FAM167B
LCK	LCK	LCK
HDAC1	HDAC1	HDAC1
MARCKSL1	MARCKSL1	MARCKSL1
RP4-811H24.9	RP4-811H24.9	RP4-811H24.9
TSSK3	TSSK3	TSSK3
FAM229A	FAM229A	FAM229A
BSDC1	BSDC1	BSDC1
GAPDHP20	GAPDHP20	GAPDHP20
RP11-395N6.4	RP11-395N6.4	RP11-395N6.4
LRRC37A12P	LRRC37A12P	LRRC37A12P
RN7SL122P	RN7SL122P	RN7SL122P
ZBTB8B	ZBTB8B	ZBTB8B
ZBTB8A	ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS	ZBTB8OS
RBBP4	RBBP4	RBBP4
SYNC	SYNC	SYNC
RP11-114B7.6	RP11-114B7.6	RP11-114B7.6
KIAA1522	KIAA1522	KIAA1522
YARS	YARS	YARS
S100PBP	S100PBP	S100PBP
FNDC5	FNDC5	FNDC5
HPCA	HPCA	HPCA
TMEM54	TMEM54	TMEM54
RNF19B	RNF19B	RNF19B
RP5-1174N9.2	RP5-1174N9.2	RP5-1174N9.2
RP4-803A2.1	RP4-803A2.1	RP4-803A2.1
RP4-803A2.2	RP4-803A2.2	RP4-803A2.2
AK2	AK2	AK2
RP1-117O3.2	RP1-117O3.2	RP1-117O3.2
AZIN2	AZIN2	AZIN2
RP11-131M11.2	RP11-131M11.2	RP11-131M11.2
TRIM62	TRIM62	TRIM62
RP11-131M11.3	RP11-131M11.3	RP11-131M11.3
ZNF362	ZNF362	ZNF362
RP11-415J8.7	RP11-415J8.7	RP11-415J8.7
A3GALT2	A3GALT2	A3GALT2
RP11-415J8.3	RP11-415J8.3	RP11-415J8.3
PHC2	PHC2	PHC2
MIR3605	MIR3605	MIR3605
RN7SKP16	RN7SKP16	RN7SKP16
RP11-415J8.5	RP11-415J8.5	RP11-415J8.5
TLR12P	TLR12P	TLR12P
ZSCAN20	ZSCAN20	ZSCAN20
RP4-580O19.2	RP4-580O19.2	RP4-580O19.2
CSMD2	CSMD2	CSMD2
HSPD1P14	HSPD1P14	HSPD1P14
HMGB4	HMGB4	HMGB4
CSMD2-AS1	CSMD2-AS1	CSMD2-AS1
RNA5SP42	RNA5SP42	RNA5SP42
C1orf94	C1orf94	C1orf94
RP4-657M3.2	RP4-657M3.2	RP4-657M3.2
MIR552	MIR552	MIR552
SMIM12	SMIM12	SMIM12
GJB5	GJB5	GJB5
GJB4	GJB4	GJB4
GJB3	GJB3	GJB3
RP1-34M23.5	RP1-34M23.5	RP1-34M23.5
GJA4	GJA4	GJA4
RP5-997D16.2	RP5-997D16.2	RP5-997D16.2
DLGAP3	DLGAP3	DLGAP3
RP11-244H3.1	RP11-244H3.1	RP11-244H3.1
TMEM35B	TMEM35B	TMEM35B
ZMYM6	ZMYM6	ZMYM6
RPL12P45	RPL12P45	RPL12P45
ZMYM1	ZMYM1	ZMYM1
EFCAB14P1	EFCAB14P1	EFCAB14P1
SFPQ	SFPQ	SFPQ
ZMYM4	ZMYM4	ZMYM4
RN7SL503P	RN7SL503P	RN7SL503P
SNORA62	SNORA62	SNORA62
RPL5P4	RPL5P4	RPL5P4
ZMYM4-AS1	ZMYM4-AS1	ZMYM4-AS1
KIAA0319L	KIAA0319L	KIAA0319L
RP4-728D4.3	RP4-728D4.3	RP4-728D4.3
NCDN	NCDN	NCDN
RP4-728D4.2	RP4-728D4.2	RP4-728D4.2
TFAP2E	TFAP2E	TFAP2E
PSMB2	PSMB2	PSMB2
C1orf216	C1orf216	C1orf216
CLSPN	CLSPN	CLSPN
RP11-435D7.3	RP11-435D7.3	RP11-435D7.3
AGO4	AGO4	AGO4
AGO1	AGO1	AGO1
RP4-789D17.4	RP4-789D17.4	RP4-789D17.4
AGO3	AGO3	AGO3
RP4-665N4.8	RP4-665N4.8	RP4-665N4.8
RP4-665N4.4	RP4-665N4.4	RP4-665N4.4
TEKT2	TEKT2	TEKT2
ADPRHL2	ADPRHL2	ADPRHL2
COL8A2	COL8A2	COL8A2
TRAPPC3	TRAPPC3	TRAPPC3
MAP7D1	MAP7D1	MAP7D1
RN7SL131P	RN7SL131P	RN7SL131P
THRAP3	THRAP3	THRAP3
UBE2V2P4	UBE2V2P4	UBE2V2P4
SH3D21	SH3D21	SH3D21
EVA1B	EVA1B	EVA1B
RP11-268J15.5	RP11-268J15.5	RP11-268J15.5
STK40	STK40	STK40
LSM10	LSM10	LSM10
RNU4-27P	RNU4-27P	RNU4-27P
OSCP1	OSCP1	OSCP1
SNORA63	SNORA63	SNORA63
MRPS15	MRPS15	MRPS15
CSF3R	CSF3R	CSF3R
FTLP18	FTLP18	FTLP18
RP4-614N24.1	RP4-614N24.1	RP4-614N24.1
GRIK3	GRIK3	GRIK3
MIR4255	MIR4255	MIR4255
RNU6-636P	RNU6-636P	RNU6-636P
RP5-1180C18.1	RP5-1180C18.1	RP5-1180C18.1
RNA5SP43	RNA5SP43	RNA5SP43
RPS29P6	RPS29P6	RPS29P6
LINC01137	LINC01137	LINC01137
ZC3H12A	ZC3H12A	ZC3H12A
MIR6732	MIR6732	MIR6732
MEAF6	MEAF6	MEAF6
MIR5581	MIR5581	MIR5581
SNIP1	SNIP1	SNIP1
FTH1P1	FTH1P1	FTH1P1
RP3-423B22.5	RP3-423B22.5	RP3-423B22.5
DNALI1	DNALI1	DNALI1
GNL2	GNL2	GNL2
RSPO1	RSPO1	RSPO1
C1orf109	C1orf109	C1orf109
CDCA8	CDCA8	CDCA8
EPHA10	EPHA10	EPHA10
ACTN4P2	ACTN4P2	ACTN4P2
RP11-109P14.2	RP11-109P14.2	RP11-109P14.2
MANEAL	MANEAL	MANEAL
YRDC	YRDC	YRDC
C1orf122	C1orf122	C1orf122
MTF1	MTF1	MTF1
RP11-109P14.8	RP11-109P14.8	RP11-109P14.8
INPP5B	INPP5B	INPP5B
RNU6-584P	RNU6-584P	RNU6-584P
SF3A3	SF3A3	SF3A3
RNU6-510P	RNU6-510P	RNU6-510P
FHL3	FHL3	FHL3
UTP11	UTP11	UTP11
POU3F1	POU3F1	POU3F1
RP5-884C9.2	RP5-884C9.2	RP5-884C9.2
RP5-884C9.3	RP5-884C9.3	RP5-884C9.3
MIR3659	MIR3659	MIR3659
LINC01343	LINC01343	LINC01343
RP11-329N22.2	RP11-329N22.2	RP11-329N22.2
RNU6-753P	RNU6-753P	RNU6-753P
LINC01685	LINC01685	LINC01685
RP11-334L9.1	RP11-334L9.1	RP11-334L9.1
RRAGC	RRAGC	RRAGC
RP5-864K19.4	RP5-864K19.4	RP5-864K19.4
MYCBP	MYCBP	MYCBP
GJA9	GJA9	GJA9
RHBDL2	RHBDL2	RHBDL2
RNU6-605P	RNU6-605P	RNU6-605P
EIF1P2	EIF1P2	EIF1P2
AKIRIN1	AKIRIN1	AKIRIN1
NDUFS5	NDUFS5	NDUFS5
MACF1	MACF1	MACF1
RNU6-608P	RNU6-608P	RNU6-608P
RNA5SP44	RNA5SP44	RNA5SP44
RP11-416A14.1	RP11-416A14.1	RP11-416A14.1
RP11-420K8.1	RP11-420K8.1	RP11-420K8.1
HSPE1P8	HSPE1P8	HSPE1P8
BMP8A	BMP8A	BMP8A
OXCT2P1	OXCT2P1	OXCT2P1
RP11-69E11.4	RP11-69E11.4	RP11-69E11.4
PPIEL	PPIEL	PPIEL
PABPC4	PABPC4	PABPC4
SNORA55	SNORA55	SNORA55
RP11-69E11.8	RP11-69E11.8	RP11-69E11.8
HEYL	HEYL	HEYL
RP1-144F13.3	RP1-144F13.3	RP1-144F13.3
NT5C1A	NT5C1A	NT5C1A
HPCAL4	HPCAL4	HPCAL4
PPIE	PPIE	PPIE
RP1-144F13.4	RP1-144F13.4	RP1-144F13.4
RNU7-121P	RNU7-121P	RNU7-121P
BMP8B	BMP8B	BMP8B
OXCT2	OXCT2	OXCT2
RP1-118J21.25	RP1-118J21.25	RP1-118J21.25
RP1-118J21.24	RP1-118J21.24	RP1-118J21.24
TRIT1	TRIT1	TRIT1
MYCL	MYCL	MYCL
RP1-118J21.5	RP1-118J21.5	RP1-118J21.5
MFSD2A	MFSD2A	MFSD2A
RP3-342P20.2	RP3-342P20.2	RP3-342P20.2
CAP1	CAP1	CAP1
PPT1	PPT1	PPT1
RP11-115D7.3	RP11-115D7.3	RP11-115D7.3
RLF	RLF	RLF
RNU6-1237P	RNU6-1237P	RNU6-1237P
TMCO2	TMCO2	TMCO2
RP1-39G22.7	RP1-39G22.7	RP1-39G22.7
ZMPSTE24	ZMPSTE24	ZMPSTE24
RP1-39G22.4	RP1-39G22.4	RP1-39G22.4
COL9A2	COL9A2	COL9A2
RP1-228H13.1	RP1-228H13.1	RP1-228H13.1
SMAP2	SMAP2	SMAP2
RP1-228H13.2	RP1-228H13.2	RP1-228H13.2
ZFP69B	ZFP69B	ZFP69B
RP1-228H13.5	RP1-228H13.5	RP1-228H13.5
RP11-656D10.7	RP11-656D10.7	RP11-656D10.7
ZFP69	ZFP69	ZFP69
RP11-656D10.3	RP11-656D10.3	RP11-656D10.3
EXO5	EXO5	EXO5
RP11-656D10.5	RP11-656D10.5	RP11-656D10.5
RP11-656D10.6	RP11-656D10.6	RP11-656D10.6
ZNF684	ZNF684	ZNF684
RP1-63P18.2	RP1-63P18.2	RP1-63P18.2
GTF2F2P2	GTF2F2P2	GTF2F2P2
RIMS3	RIMS3	RIMS3
RP4-739H11.3	RP4-739H11.3	RP4-739H11.3
NFYC-AS1	NFYC-AS1	NFYC-AS1
NFYC	NFYC	NFYC
MIR30E	MIR30E	MIR30E
MIR30C1	MIR30C1	MIR30C1
KCNQ4	KCNQ4	KCNQ4
RN7SL326P	RN7SL326P	RN7SL326P
CITED4	CITED4	CITED4
RP5-1066H13.4	RP5-1066H13.4	RP5-1066H13.4
RP11-348A7.1	RP11-348A7.1	RP11-348A7.1
UBE2V1P8	UBE2V1P8	UBE2V1P8
CTPS1	CTPS1	CTPS1
SLFNL1-AS1	SLFNL1-AS1	SLFNL1-AS1
SLFNL1	SLFNL1	SLFNL1
SCMH1	SCMH1	SCMH1
RPL23AP17	RPL23AP17	RPL23AP17
RP11-399E6.1	RP11-399E6.1	RP11-399E6.1
RP11-399E6.2	RP11-399E6.2	RP11-399E6.2
FOXO6	FOXO6	FOXO6
RP11-399E6.4	RP11-399E6.4	RP11-399E6.4
RNA5SP45	RNA5SP45	RNA5SP45
EDN2	EDN2	EDN2
HIVEP3	HIVEP3	HIVEP3
RP11-486B10.3	RP11-486B10.3	RP11-486B10.3
RP11-486B10.4	RP11-486B10.4	RP11-486B10.4
HNRNPFP1	HNRNPFP1	HNRNPFP1
RP11-319C21.1	RP11-319C21.1	RP11-319C21.1
GUCA2B	GUCA2B	GUCA2B
GUCA2A	GUCA2A	GUCA2A
FOXJ3	FOXJ3	FOXJ3
RP11-223A3.1	RP11-223A3.1	RP11-223A3.1
RIMKLA	RIMKLA	RIMKLA
RP11-157D18.2	RP11-157D18.2	RP11-157D18.2
ZMYND12	ZMYND12	ZMYND12
PPCS	PPCS	PPCS
CCDC30	CCDC30	CCDC30
RP11-163G10.2	RP11-163G10.2	RP11-163G10.2
TMSB4XP1	TMSB4XP1	TMSB4XP1
RNU6-536P	RNU6-536P	RNU6-536P
RP11-163G10.4	RP11-163G10.4	RP11-163G10.4
PPIH	PPIH	PPIH
RP5-994D16.3	RP5-994D16.3	RP5-994D16.3
YBX1	YBX1	YBX1
CLDN19	CLDN19	CLDN19
P3H1	P3H1	P3H1
C1orf50	C1orf50	C1orf50
RP5-994D16.9	RP5-994D16.9	RP5-994D16.9
TMEM269	TMEM269	TMEM269
SVBP	SVBP	SVBP
