Gene	Slope	P-value
RNU6ATAC18P	RNU6ATAC18P	RNU6ATAC18P
MIR6730	MIR6730	MIR6730
RP11-474O21.5	RP11-474O21.5	RP11-474O21.5
AADACL4	AADACL4	AADACL4
RP11-474O21.2	RP11-474O21.2	RP11-474O21.2
AADACL3	AADACL3	AADACL3
C1orf158	C1orf158	C1orf158
PRAMEF12	PRAMEF12	PRAMEF12
PRAMEF1	PRAMEF1	PRAMEF1
LINC01784	LINC01784	LINC01784
PRAMEF11	PRAMEF11	PRAMEF11
PRAMEF30P	PRAMEF30P	PRAMEF30P
HNRNPCL1	HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4	PRAMEF4
PRAMEF10	PRAMEF10	PRAMEF10
PRAMEF7	PRAMEF7	PRAMEF7
RNU6-1072P	RNU6-1072P	RNU6-1072P
PRAMEF29P	PRAMEF29P	PRAMEF29P
PRAMEF6	PRAMEF6	PRAMEF6
PRAMEF28P	PRAMEF28P	PRAMEF28P
PRAMEF27	PRAMEF27	PRAMEF27
HNRNPCL3	HNRNPCL3	HNRNPCL3
PRAMEF25	PRAMEF25	PRAMEF25
PRAMEF34P	PRAMEF34P	PRAMEF34P
PRAMEF35P	PRAMEF35P	PRAMEF35P
HNRNPCL2	HNRNPCL2	HNRNPCL2
PRAMEF36P	PRAMEF36P	PRAMEF36P
RP13-221M14.2	RP13-221M14.2	RP13-221M14.2
PRAMEF26	PRAMEF26	PRAMEF26
HNRNPCL4	HNRNPCL4	HNRNPCL4
PRAMEF9	PRAMEF9	PRAMEF9
PRAMEF13	PRAMEF13	PRAMEF13
PRAMEF18	PRAMEF18	PRAMEF18
PRAMEF31P	PRAMEF31P	PRAMEF31P
PRAMEF5	PRAMEF5	PRAMEF5
PRAMEF32P	PRAMEF32P	PRAMEF32P
RNU6-771P	RNU6-771P	RNU6-771P
PRAMEF8	PRAMEF8	PRAMEF8
PRAMEF33	PRAMEF33	PRAMEF33
PRAMEF15	PRAMEF15	PRAMEF15
RP11-219C24.10	RP11-219C24.10	RP11-219C24.10
PRAMEF14	PRAMEF14	PRAMEF14
PRAMEF19	PRAMEF19	PRAMEF19
PRAMEF17	PRAMEF17	PRAMEF17
PRAMEF20	PRAMEF20	PRAMEF20
LRRC38	LRRC38	LRRC38
RP4-597A16.2	RP4-597A16.2	RP4-597A16.2
BRWD1P1	BRWD1P1	BRWD1P1
PDPN	PDPN	PDPN
RNA5SP41	RNA5SP41	RNA5SP41
CTA-520D8.2	CTA-520D8.2	CTA-520D8.2
SCARNA11	SCARNA11	SCARNA11
PRDM2	PRDM2	PRDM2
KAZN	KAZN	KAZN
RNU6-1265P	RNU6-1265P	RNU6-1265P
RP11-344F13.1	RP11-344F13.1	RP11-344F13.1
RP4-704D23.1	RP4-704D23.1	RP4-704D23.1
TBCAP2	TBCAP2	TBCAP2
TMEM51-AS1	TMEM51-AS1	TMEM51-AS1
TMEM51	TMEM51	TMEM51
C1orf195	C1orf195	C1orf195
RP1-21O18.3	RP1-21O18.3	RP1-21O18.3
RP5-903E17.2	RP5-903E17.2	RP5-903E17.2
FHAD1	FHAD1	FHAD1
RP3-467K16.2	RP3-467K16.2	RP3-467K16.2
RP3-467K16.7	RP3-467K16.7	RP3-467K16.7
RP3-467K16.4	RP3-467K16.4	RP3-467K16.4
EFHD2	EFHD2	EFHD2
CTRC	CTRC	CTRC
CELA2A	CELA2A	CELA2A
CELA2B	CELA2B	CELA2B
CASP9	CASP9	CASP9
DNAJC16	DNAJC16	DNAJC16
SCARNA21	SCARNA21	SCARNA21
RP4-680D5.8	RP4-680D5.8	RP4-680D5.8
AGMAT	AGMAT	AGMAT
RP4-680D5.2	RP4-680D5.2	RP4-680D5.2
CHCHD2P6	CHCHD2P6	CHCHD2P6
RNU7-179P	RNU7-179P	RNU7-179P
